,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,tabas,33.6,56.92,77.0,16,0,4.7,IR,1599946928
155,saint-philippe,-21.36,55.77,66.2,68,35,5.82,RE,1599946606
156,khorixas,-20.37,14.97,55.71,75,0,1.63,NA,1599946929
157,ponta delgada,37.73,-25.67,69.8,77,75,6.93,PT,1599946594
158,kirkby,53.48,-2.9,60.8,67,20,14.99,GB,1599946929
159,port alfred,-33.59,26.89,69.57,52,95,10.16,ZA,1599946594
160,kutum,14.2,24.67,77.14,64,13,2.68,SD,1599946930
161,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
162,nador,35.17,-2.93,77.0,73,49,6.93,MA,1599946854
163,cayenne,4.93,-52.33,84.2,70,2,5.82,GF,1599946705
164,ust-tsilma,65.44,52.15,45.77,91,100,5.59,RU,1599946930
165,tasiilaq,65.61,-37.64,35.6,69,100,4.7,GL,1599946621
166,rio gallegos,-51.62,-69.22,48.2,49,40,26.4,AR,1599946603
167,itarema,-2.92,-39.92,78.17,75,100,16.96,BR,1599946931
168,menongue,-14.66,17.69,58.17,33,22,3.36,AO,1599946931
169,lagoa,39.05,-27.98,71.02,71,1,3.83,PT,1599946565
170,inta,66.03,60.17,42.21,94,31,9.6,RU,1599946932
171,porto novo,6.5,2.6,77.0,83,75,19.46,BJ,1599946932
172,pakdasht,35.48,51.68,78.01,27,20,6.93,IR,1599946932
173,klaksvik,62.23,-6.59,46.4,93,92,2.24,FO,1599946933
174,alta floresta,-9.88,-56.09,90.54,19,32,4.29,BR,1599946933
175,durban,-29.86,31.03,68.0,88,7,4.7,ZA,1599946933
176,cururupu,-1.83,-44.87,77.16,85,99,4.5,BR,1599946778
177,sipe sipe,-17.45,-66.38,75.2,25,40,9.17,BO,1599946933
178,tonantins,-2.87,-67.8,86.02,62,71,1.54,BR,1599946934
179,maiduguri,11.85,13.16,74.66,78,100,13.47,NG,1599946901
180,olafsvik,64.89,-23.71,43.36,77,100,22.79,IS,1599946588
181,poroshkovo,48.67,22.75,55.0,89,45,7.0,UA,1599946934
182,harer,9.31,42.13,61.77,78,68,1.05,ET,1599946543
183,tukrah,32.53,20.58,74.53,71,0,9.69,LY,1599946935
184,hermanus,-34.42,19.23,59.0,89,43,8.79,ZA,1599946899
185,grand gaube,-20.01,57.66,68.0,85,0,5.99,MU,1599946541
186,axim,4.87,-2.24,75.11,90,0,8.3,GH,1599946935
187,kangaatsiaq,68.31,-53.46,36.54,81,10,8.75,GL,1599946552
188,chuy,-33.7,-53.46,49.55,79,54,6.26,UY,1599946644
189,concepcion del uruguay,-32.48,-58.24,64.99,65,0,3.0,AR,1599946936
190,taoudenni,22.68,-3.98,99.77,18,61,4.12,ML,1599946620
191,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
192,caravelas,-17.71,-39.25,72.84,80,0,7.52,BR,1599946936
193,venado tuerto,-33.75,-61.97,64.0,40,69,3.0,AR,1599946809
194,georgetown,5.41,100.34,77.0,88,40,1.12,MY,1599946878
195,tahoua,14.89,5.27,86.0,66,22,2.24,NE,1599946619
196,angoche,-16.23,39.91,74.7,80,99,12.48,MZ,1599946937
197,dwarka,22.24,68.97,82.98,79,50,12.91,IN,1599946641
198,georgetown,5.41,100.34,77.0,88,40,1.12,MY,1599946878
199,port alfred,-33.59,26.89,69.57,52,95,10.16,ZA,1599946594
200,kajiado,-1.85,36.78,59.47,77,22,11.45,KE,1599946938
201,madimba,-10.4,40.33,71.6,94,20,9.17,TZ,1599946938
202,kulhudhuffushi,6.62,73.07,81.77,80,97,13.24,MV,1599946938
203,bafq,31.61,55.41,67.89,23,0,3.65,IR,1599946939
204,kasongo,-4.45,26.67,74.39,63,0,2.46,CD,1599946939
205,bredasdorp,-34.53,20.04,59.0,82,25,9.17,ZA,1599946636
206,saint-philippe,-21.36,55.77,66.2,68,35,5.82,RE,1599946606
207,port alfred,-33.59,26.89,69.57,52,95,10.16,ZA,1599946594
208,uusikaupunki,60.8,21.41,53.6,93,75,14.99,FI,1599946940
209,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
210,saint george,37.1,-113.58,91.99,9,1,3.24,US,1599946605
211,massaguet,12.48,15.44,75.2,83,20,5.82,TD,1599946940
212,marystown,47.17,-55.15,57.0,100,2,14.79,CA,1599946941
213,namibe,-15.2,12.15,65.5,84,62,12.08,AO,1599946582
214,hermanus,-34.42,19.23,59.0,89,43,8.79,ZA,1599946899
215,zolotkovo,55.53,41.11,48.13,87,28,5.64,RU,1599946941
216,vila velha,-20.33,-40.29,79.0,78,0,17.22,BR,1599946634
217,arraial do cabo,-22.97,-42.03,78.8,65,0,17.22,BR,1599946648
218,tasiilaq,65.61,-37.64,35.6,69,100,4.7,GL,1599946621
219,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
220,sao filipe,14.9,-24.5,78.39,83,100,11.63,CV,1599946610
221,mahajanga,-15.72,46.32,77.0,69,20,5.82,MG,1599946942
222,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
223,luncavita,45.28,28.27,69.8,35,0,5.82,RO,1599946942
224,cidreira,-30.18,-50.21,61.74,95,100,8.57,BR,1599946907
225,nouna,12.73,-3.87,79.97,72,47,2.64,BF,1599946943
226,adana,36.98,35.29,80.6,88,1,3.36,TR,1599946943
227,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
228,gazojak,41.19,61.4,65.32,29,0,6.38,TM,1599946943
229,saint-augustin,51.23,-58.65,52.95,54,60,7.54,CA,1599946640
230,maniitsoq,65.42,-52.9,39.87,69,0,2.48,GL,1599946571
231,ilulissat,69.22,-51.1,33.8,74,26,3.36,GL,1599946302
232,scarborough,54.28,-0.4,59.0,69,98,4.0,GB,1599946612
233,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
234,ribeira grande,38.52,-28.7,73.4,73,20,1.12,PT,1599946602
235,ambilobe,-13.2,49.05,71.33,74,21,4.81,MG,1599946913
236,verkhnetulomskiy,68.61,31.8,44.6,87,40,6.71,RU,1599946944
237,bredasdorp,-34.53,20.04,59.0,82,25,9.17,ZA,1599946636
238,port alfred,-33.59,26.89,69.57,52,95,10.16,ZA,1599946594
239,svecha,58.28,47.52,45.57,94,81,5.91,RU,1599946945
240,olafsvik,64.89,-23.71,43.36,77,100,22.79,IS,1599946588
241,ushuaia,-54.8,-68.3,44.6,65,40,1.14,AR,1599946501
242,ilulissat,69.22,-51.1,33.8,74,26,3.36,GL,1599946302
243,mahebourg,-20.41,57.7,69.8,88,20,4.7,MU,1599946946
244,touros,-5.2,-35.46,77.0,73,20,16.11,BR,1599946625
245,georgetown,5.41,100.34,77.0,88,40,1.12,MY,1599946878
246,namibe,-15.2,12.15,65.5,84,62,12.08,AO,1599946582
247,sarti,40.1,23.98,77.65,63,14,11.25,GR,1599946946
248,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
249,laguna,38.42,-121.42,86.0,35,90,3.36,US,1599946947
250,weymouth,42.22,-70.94,66.2,55,15,8.05,US,1599946947
251,chuy,-33.7,-53.46,49.55,79,54,6.26,UY,1599946644
252,souillac,-20.52,57.52,69.8,88,20,4.7,MU,1599946617
253,stornoway,58.21,-6.39,51.01,93,100,9.17,GB,1599946947
254,sur,22.57,59.53,82.9,52,98,4.23,OM,1599946618
255,victoria,22.29,114.16,80.6,83,40,3.36,HK,1599946562
256,ribeira grande,38.52,-28.7,73.4,73,20,1.12,PT,1599946602
257,arraial do cabo,-22.97,-42.03,78.8,65,0,17.22,BR,1599946648
258,chalus,36.66,51.42,77.0,78,75,1.16,IR,1599946948
259,sao gabriel da cachoeira,-0.13,-67.09,85.57,65,96,1.54,BR,1599946948
260,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
261,victoria,22.29,114.16,80.6,83,40,3.36,HK,1599946562
262,salalah,17.02,54.09,80.6,83,40,5.82,OM,1599946607
263,caravelas,-17.71,-39.25,72.84,80,0,7.52,BR,1599946936
264,mopti,14.67,-4.0,82.4,65,40,23.04,ML,1599946949
265,mbekenyera,-10.0,38.98,69.15,72,1,2.04,TZ,1599946949
266,najran,17.49,44.13,78.8,19,11,0.92,SA,1599946949
267,newala,-10.94,39.28,63.32,96,0,4.27,TZ,1599946950
268,ecoporanga,-18.37,-40.83,72.07,68,0,9.6,BR,1599946950
269,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
270,sistranda,63.73,8.83,50.0,71,75,14.99,NO,1599946616
271,sao gabriel da cachoeira,-0.13,-67.09,85.57,65,96,1.54,BR,1599946948
272,semme,46.2,1.5,69.8,49,0,6.93,FR,1599946951
273,saint-augustin,51.23,-58.65,52.95,54,60,7.54,CA,1599946640
274,ilulissat,69.22,-51.1,33.8,74,26,3.36,GL,1599946302
275,cidreira,-30.18,-50.21,61.74,95,100,8.57,BR,1599946907
276,sakakah,29.97,40.21,91.4,16,47,3.36,SA,1599946951
277,agucadoura,41.43,-8.78,82.99,56,80,3.36,PT,1599946952
278,karlstad,59.38,13.5,53.01,71,0,11.41,SE,1599946927
279,east london,-33.02,27.91,76.86,32,3,13.62,ZA,1599946952
280,lambarene,-0.7,10.24,74.34,86,100,6.82,GA,1599946952
281,luderitz,-26.65,15.16,60.64,84,100,2.08,NA,1599946643
282,bredasdorp,-34.53,20.04,59.0,82,25,9.17,ZA,1599946636
283,alta floresta,-9.88,-56.09,90.54,19,32,4.29,BR,1599946933
284,ponta do sol,32.67,-17.1,69.8,88,40,3.4,PT,1599946594
285,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
286,maues,-3.38,-57.72,90.21,39,79,2.91,BR,1599946765
287,codrington,-38.27,141.97,47.91,88,34,7.65,AU,1599946953
288,codrington,-38.27,141.97,47.91,88,34,7.65,AU,1599946953
289,ushuaia,-54.8,-68.3,44.6,65,40,1.14,AR,1599946501
290,muros,42.78,-9.06,75.0,73,57,1.01,ES,1599946916
291,le vauclin,14.55,-60.84,86.0,70,40,4.7,MQ,1599946954
292,malatya,38.5,38.0,60.8,59,0,6.93,TR,1599946954
293,peniche,39.36,-9.38,70.0,85,100,5.01,PT,1599946955
294,zhezkazgan,47.8,67.71,59.09,34,0,4.59,KZ,1599946955
295,rio grande,-32.03,-52.1,57.2,93,90,5.82,BR,1599946832
296,ribeira grande,38.52,-28.7,73.4,73,20,1.12,PT,1599946602
297,rawson,-43.3,-65.1,56.97,34,92,21.77,AR,1599946601
298,east london,-33.02,27.91,76.86,32,3,13.62,ZA,1599946952
299,port elizabeth,-33.92,25.57,73.4,27,99,16.11,ZA,1599946645
300,arraial do cabo,-22.97,-42.03,78.8,65,0,17.22,BR,1599946648
301,saint-philippe,-21.36,55.77,66.2,68,35,5.82,RE,1599946606
302,forestville,38.85,-76.88,75.99,60,40,12.75,US,1599946883
303,paracuru,-3.41,-39.03,79.0,77,97,17.0,BR,1599946591
304,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
305,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
306,torbay,47.67,-52.73,57.0,54,20,16.11,CA,1599946524
307,nanortalik,60.14,-45.24,38.82,73,2,3.18,GL,1599946582
308,henties bay,-22.12,14.28,57.0,89,4,4.0,NA,1599946922
309,victoria,22.29,114.16,80.6,83,40,3.36,HK,1599946562
310,inongo,-1.95,18.27,71.06,81,6,5.97,CD,1599946957
311,ribeira grande,38.52,-28.7,73.4,73,20,1.12,PT,1599946602
312,luderitz,-26.65,15.16,60.64,84,100,2.08,NA,1599946643
313,adre,13.47,22.2,73.71,78,100,7.09,TD,1599946958
314,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
315,rio grande,-32.03,-52.1,57.2,93,90,5.82,BR,1599946832
316,necochea,-38.55,-58.74,59.0,48,0,15.01,AR,1599946384
317,chabahar,25.29,60.64,83.71,73,0,5.61,IR,1599946958
318,panjab,34.39,67.02,40.96,62,0,3.65,AF,1599946958
319,beloha,-25.17,45.05,68.41,82,17,14.03,MG,1599946959
320,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
321,maragogi,-9.01,-35.22,73.38,79,34,10.87,BR,1599946959
322,emba,48.83,58.14,62.1,55,100,5.93,KZ,1599946960
323,muros,42.78,-9.06,75.0,73,57,1.01,ES,1599946916
324,arraial do cabo,-22.97,-42.03,78.8,65,0,17.22,BR,1599946648
325,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
326,puerto carreno,6.19,-67.49,78.8,83,40,2.71,CO,1599946960
327,dingle,11.0,122.67,75.9,90,12,3.83,PH,1599946960
328,sao filipe,14.9,-24.5,78.39,83,100,11.63,CV,1599946610
329,ventspils,57.39,21.56,62.6,82,90,20.8,LV,1599946646
330,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
331,amapa,1.0,-52.0,79.92,67,62,2.33,BR,1599946961
332,hofn,64.25,-15.21,46.51,63,35,11.63,IS,1599946961
333,muros,42.78,-9.06,75.0,73,57,1.01,ES,1599946916
334,ponta do sol,32.67,-17.1,69.8,88,40,3.4,PT,1599946594
335,georgetown,5.41,100.34,77.0,88,40,1.12,MY,1599946878
336,cayenne,4.93,-52.33,84.2,70,2,5.82,GF,1599946705
337,maceio,-9.67,-35.74,71.6,83,23,6.93,BR,1599946963
338,vila velha,-20.33,-40.29,79.0,78,0,17.22,BR,1599946634
339,fez,34.04,-5.0,75.2,69,98,3.36,MA,1599946963
340,goderich,43.75,-81.72,77.0,78,75,9.84,CA,1599946950
341,road town,18.42,-64.62,82.99,82,24,5.99,VG,1599946964
342,tucuma,-0.18,-50.05,80.22,84,35,10.22,BR,1599946964
343,sokoni,-6.43,39.55,77.4,83,3,16.73,TZ,1599946964
344,bathsheba,13.22,-59.52,80.6,78,40,10.29,BB,1599946514
345,sao joao da barra,-21.64,-41.05,77.0,73,0,18.34,BR,1599946610
346,pemba,-12.97,40.52,74.7,88,10,15.19,MZ,1599946593
347,mitu,1.2,-70.17,78.85,79,99,1.41,CO,1599946577
348,olafsvik,64.89,-23.71,43.36,77,100,22.79,IS,1599946588
349,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
350,puerto carreno,6.19,-67.49,78.8,83,40,2.71,CO,1599946960
351,storozhevaya,43.88,41.45,59.02,67,0,5.01,RU,1599946965
352,kutum,14.2,24.67,77.14,64,13,2.68,SD,1599946930
353,lamu,-2.27,40.9,78.8,83,75,8.05,KE,1599946565
354,ushuaia,-54.8,-68.3,44.6,65,40,1.14,AR,1599946501
355,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
356,cabinda,-5.55,12.2,74.55,85,16,11.03,AO,1599946966
357,dingle,11.0,122.67,75.9,90,12,3.83,PH,1599946960
